'y-axis saved as y
'x,TrBiI4_pure_ground_exported.raw_1,Diff,Ycalc
16.2817254,91,-12.4976217,103.497622
16.3021607,105,1.83220833,103.167792
16.322596,87,-15.839273,102.839273
16.3430313,97,-5.51207638,102.512076
16.3634666,94,-8.1862136,102.186214
16.3839019,92,-9.86169774,101.861698
16.4043373,104,2.46145679,101.538543
16.4247726,102,0.78323413,101.216766
16.4452079,90,-10.8963832,100.896383
16.4656432,84,-16.5774151,100.577415
16.4860785,96,-4.25989226,100.259892
16.5065138,80,-19.943888,99.943888
16.5269492,92,-7.62957763,99.6295776
16.5473845,94,-5.31735391,99.3173539
16.5678198,89,-10.00811,99.00811
16.5882551,102,3.2959532,98.7040468
16.6086904,108,9.58803893,98.4119611
16.6291257,85,-13.1497711,98.1497711
16.6495611,92,-5.89493253,97.8949325
16.6699964,114,16.3976733,97.6023267
16.6904317,109,11.6936864,97.3063136
16.710867,98,0.987493482,97.0125065
16.7313023,93,-3.7211656,96.7211656
16.7517376,97,0.56721163,96.4327884
16.772173,97,0.851540585,96.1484594
16.7926083,103,7.12933704,95.870663
16.8130436,91,-4.60588429,95.6058843
16.8334789,106,10.6243651,95.3756349
16.8539142,101,5.78553393,95.2144661
16.8743495,101,5.9836959,95.0163041
16.8947849,106,11.2388837,94.7611163
16.9152202,90,-4.51152378,94.5115238
16.9356555,98,3.72355641,94.2764436
16.9560908,96,1.92706776,94.0729322
16.9765261,87,-6.95901833,93.9590183
16.9969614,103,8.99227732,94.0077227
17.0173968,93,-0.925058761,93.9250588
17.0378321,93,-0.727329432,93.7273294
17.0582674,108,14.4655636,93.5344364
17.0787027,81,-12.3515345,93.3515345
17.099138,93,-0.179812956,93.179813
17.1195733,102,8.97929851,93.0207015
17.1400087,101,8.12399783,92.8760022
17.160444,99,6.25189057,92.7481094
17.1808793,79,-13.6404162,92.6404162
17.2013146,100,7.44175428,92.5582457
17.2217499,95,2.48837595,92.511624
17.2421852,92,-0.526574798,92.5265748
17.2626206,87,-5.64357642,92.6435764
17.2830559,83,-9.76381391,92.7638139
17.3034912,114,21.1251647,92.8748353
17.3239265,119,25.9510999,93.0489001
17.3443618,85,-8.30627136,93.3062714
17.3647971,112,18.3273328,93.6726672
17.3852325,90,-4.18816067,94.1881607
17.4056678,98,3.0736294,94.9263706
17.4261031,113,16.9599371,96.0400629
17.4465384,117,19.458812,97.541188
17.4669737,113,13.6818973,99.3181027
17.487409,113,11.2145732,101.785427
17.5078444,100,-5.37557408,105.375574
17.5282797,96,-14.7490906,110.749091
17.548715,127,8.03488838,118.965112
17.5691503,141,9.40414953,131.59585
17.5895856,196,45.4318109,150.568189
17.6100209,176,-1.01249746,177.012497
17.6304563,203,-4.79749855,207.797499
17.6508916,254,22.839691,231.160309
17.6713269,252,18.5419791,233.458021
17.6917622,236,19.7400355,216.259964
17.7121975,191,1.43784098,189.562159
17.7326328,154,-7.12430306,161.124303
17.7530682,142,3.75656393,138.243436
17.7735035,133,9.90326659,123.096733
17.7939388,117,3.2167847,113.783215
17.8143741,99,-9.09596056,108.095961
17.8348094,118,13.3953701,104.60463
17.8552447,111,8.45857129,102.541429
17.87568,112,10.4024139,101.597586
17.8961154,90,-11.3574889,101.357489
17.9165507,117,15.5616592,101.438341
17.936986,113,10.9758134,102.024187
17.9574213,113,9.84736967,103.15263
17.9778566,108,3.10461553,104.895384
17.9982919,95,-12.3960057,107.396006
18.0187273,110,-0.90633587,110.906336
18.0391626,121,5.13622145,115.863779
18.0595979,154,30.9390263,123.060974
18.0800332,140,6.21545871,133.784541
18.1004685,153,3.38551118,149.614489
18.1209038,129,-44.8680572,173.868057
18.1413392,207,-4.06327476,211.063275
18.1617745,279,13.8468919,265.153108
18.1822098,297,-36.0871781,333.087178
18.2026451,372,-21.049894,393.049894
18.2230804,390,-21.5858372,411.585837
18.2435157,394,7.19746036,386.80254
18.2639511,340,-2.74048924,342.740489
18.2843864,273,-21.8579407,294.857941
18.3048217,218,-43.0192971,261.019297
